V_PNR,fodested_kode
cb63d38cd80b3627bb69dcebc8ad2d74ab1bd22fe2d571f5a53fdfe60781077a,248
dc3a7a4c7a5292f5774ffe0dbb44a94c85ca726179993b95f4909ae4ee5bad41,722
ae99e341bb68fcd31160dbdc9623351b49440d95c05f4f63a2e9a20cc1a16e11,340
8ba6abed31e250be94bdda04d972e2834f07349d4a1cdf038dccd579f41fa904,875
7264508d67,587
8b32542beea2321d351eb0e3f99267db26675f7c66f07ee28e60a4f02626c728,193
1bffd4fd63208d8cea7f9255ae90eb9abd6995e8eb7abc3445974e18148adac9,379
545dc66a82112e84cec753bdedec2721534dbe796266788e8650080988e7e1ce,199
e91b830155ac6077924b91b87d126e3621dd2b026b5b301cf6ca90a0f117bc37,819
9cca34180460fa540b6080ec7f6285604b9dd6a58bc0835f8117e79d67053752,635
a29021c32b59a095d5ec0c3d94e85b5e1895ae47d627b3e3f109ec78d98d8f68,662
413114cdb003ea852287245ff2fb032ab2ecc9de0a2b1068af6d0014e44177b5,62
c37be710c9,103
5b1e2cb9a6414398cb84361f1fe0d8f9f0962893480e0ced6d358b9f26568986,749
24e70eb9a91f804ab9ba577bf1a893c26f37f2aab06618cd08648df04d46c2fc,208
c2df08ca5999c184984e8a78cf90d13de088937de9d66670a2440ff976eb0102,350
fdf0d684e4a06fcbab04e2f0c10b518f15efa6ceb6d21d09c775129d30f59501,452
e9a3a157e5,697
ae98d8908bac8522fe601eb73b1d7ee5bdc5839fe72e2862a1e685dad8996a87,256
fee796a9cbea8828158a4d94b8b079c30f403c51ef2bce07e7ba242dd490e034,80
bf4dc47bbaef42ffc994b73a67aed3ad1a59c4a0254d9ef353e156a826d76a3a,245
528ecf32d7bb2097fa06ba4124fd9b3f12c65dec85156fa1c3b1eb0f5bfd23f5,689
cc34a6133f1700e94aa4855a8e52be9c0b8f81e5fd9be108ca4fa747fe923d06,397
908939ab5510070b3933e007663f44a0cbd71ad023397b380bcf6ddd7ba10cc3,82
af8f73293a1e1427d8db86749d2e284dd2736b9d6ae76d25828867183e526d4e,342
1ca8f8f5cfe2a5d69c78c4b347efc853b515e31429fb3e287513e9018dc50747,458
6eb3c6806bfedaf03aafbe6876187db32f7b2b91a21a1ff909f2c47199bfc112,718
d771de5943af3311f3fe0ad2c405c878bd8d0308ce8e0bf9c5ec8be83e6792dc,726
22bac5c3636594eb8774ad985a17b0d5b88ecf567d221c9e882f2fdc05d98e6d,265
da65dd5857c1931131e2be3c80bdd1d3ec780b851c4995b666638a01d567799a,498
8a580ee7f21f01eb14fbff1f1336c5ebe50efc6eef289016d3524f17c6ce0dd8,857
080e3ad9d775a95006b71e80ee7735b7c9a7833639318cb271db91750706b942,896
b65879dbb0f9aa50b378456602c34474101dfa687c2908c0d2905b9a12edf6eb,648
d1918552ed7330496b521683462454a0942bcff53912aa8b5ab6f66e650090b0,133
5ae82a7c53b5ea2009b15dc326b165beff6f38ea46fe00448f9fe532650a6e68,694
dd3b11f8bb,14
79b50670bfa55c94cbeb060c14a599b41b875a2571c595054f9d64f11bf540a5,664
a9d1093dd173434f3886991cff014a06a4d8e0b72aca121090d29b154479cc80,186
98d5f00eab33286ed17b0746c61ca55a7f50831d054b45a8b05574e09a207a69,406
cce15b196f,463
566bfa84d87b41ea466cdfdd63fd87d5cddcbe8133cf851e8c9d686f9c011ba7,836
482116db0040c6c3746dcffe4571cc3b7543bd375c8c7ccfced24b5beb55ab88,285
1a1545a4b3,210
837942eb6a789ec4b6fede5a34b2577c24d2a59f332a6f3f264773aaa41e029e,375
8df577c885f53a22a819036b5e28d31fc12d51cb0536b836de1ea8544023b36b,469
2649c363d208882202cf9a08148e09a0c2ef187b749045c251bcf6e4299d8ebf,550
0c95a94cd37e277fb1f8574f8db6f48a72e8a200e7a5b15c921967062869e07b,298
bc4ded0a7a7823446c1edaaa3b3e09af36af58c529e2dd1f80f9863ab5f0dfb2,341
58303aa19818ee1e4f85db78dd839bfe0de82e85b4cc2c698b7e4e07ed777207,36
b395b3f4fe3f1ea094f5d09c62b23f1490994f801aaf7233bc79c2416973b9c3,597
2f139e75331c65bf5b89c46d9a5dcf7d2471d4db5e264e1099aaa2456393dc24,561
64cf880ea3781863294a4611015999c3851970406a996a6f82c097fe0e22de35,748
b84079b41406ebc286d334ea4c5df1eec10895f464fba43677b085af4be5bb14,535
0d787f9cba7970930acaa5d8da85117c5687873b996e91adf650d3d20a370b48,855
1772e25921920bd3532fda350917b25cbd7344b64e50d655dd5f72c3e699b24a,101
2db4d038af82a785b10e5ffac9b8173cc8d705e3dc4c5ae8681d884307b5f5fd,817
16c4c6e9d954d2a0f6215a52cf33ef1e86799db2f637ccc4cfbd06394f456892,716
d724f77dc1,343
4a6ca9ba58aaef87a1d07c4d9d277452732b49d8dde66d472af920ba404a8544,641
67b59f5201d15c11a625f1dea64a7afb210b2efd397e9b0b7e0f7e15470dee31,654
3727dd08566d2058ef50b32d01872df5a8c6f9326c73bf6ff00f3f859fa86b94,202
08e5e2871bb81e01288de759231b259bf95d4b394dc94d80720f3d3afefd59e3,8
4748bb38cc50ea5c19b7da65e51d302c75ecb37036f862379650fed9f5e6769c,296
857bfc006b479418d66004f98e217bcefd08650457bc54dc001af693fb23eb67,377
97e9ef4ce70f4a6c743b5c58b0738d758dec4e1cbd067293ffc293112e298968,170
fde304a07e267ec63da18f9dbdcac5512d6ddafe42122ff0e1b4eca009ee27d6,65
a692b50d56000a907e21323dfb6f85abbcf58a08069fd40bd67b0750833ed774,206
8f566c962803ef4a55e58c37192e9d112cd00bd21479064f42cd55c2cd68a747,212
72568d2a593c0eeb1a2ed5775e05071c59f07008ba43c6d00b23f135f66fa64d,816
dd90e0d011d2e74663d0f9d74eef67d44b72edf01e2154e2d51ec457532a4a27,387
c75f2886180b6c975df87ee5f11c0228d28f2ce34b0b3a07448add92a57963da,610
688de11a543d2170c063aef55f75caa982b4bfaf11fdffadf4477b9572c2e467,415
81eb3da98b4d240792b14db313115308489133ac01a4ac100cab0a620e219a0c,330
04d0155b7d1d0894c1340d66284f0f8495a58bf8c3b56c4ca838da9d7958ac93,650
8539b93c488074bc2c4b755da2157f16fee2ad13224b8408f1a0d02532d81429,764
9fa9efa6fbffe8032295518decd4990fe11a1e23b5411df71730c82c81bf2967,36
f144d9ad9e50de41f5ce570f302e66d42f5dcd1de432b00ced0426d485748364,617
98be63ae1a3bb50bc1e97d63c9615765fd3ef866bb24fbad89c6e2876f3c17f4,596
d27c2c9dbeb3cc333922aff8059ebdc61ce0a6f0a8fc731180f6ffff7e15e01b,528
489252e1a5ac4259d119d5096cc8f4fa211ac9266a895043eb9c772b903cbbd7,41
73b992ec8cf0856dd6a9f57732c2e22b3e787c45495ca9a63dc08849d3bca1e2,459
7f42eb1bb7768d7c2b92da3db67a214f274833b1bfe35ce78701212e602ee8e4,517
9d3c728e105e74b182fde6f71077f7d246dc299c501c24ffa8b4a6b22a8ca296,813
803ba8341a7fea7920b46b959042adfcba9c6d80c086c5955dfcc07a0274b0ec,772
cbe54b31b7db23ccd8ea750ab0d5af26aff81117594b21a5a657014d15d20719,612
dd970a8caafc9687a6b6340b7826738e9a5ec74bba37c264e069b69ffac70cf1,397
792c75feec96e3bccfe93f40334e472a7c71eaaadacb2d578171a15c4c61dda0,758
c9c320c19c20b36c9b8567fc729c9e83a484cc0e175fcdd6ad0dbeb540cde12b,260
d91bfb02f8047fc0fe53522c82187909dba3912b4ff4d1f5f6314daed29bfb48,268
49154cd9fe839702dc19c7299f680fdc91e7a7d4509df9b535b8f114c018c236,63
f46efd331029800be017f0c9ab870039cf31a1748734cd61cfc08a0e566646bf,746
1564bff4c362ddea64b475309a38f1558a02650c57f5b72ec3b6b55c69894005,36
94d737065dee3db8cdb1e1d933201dc40d0fdc765a04705f944d6f3c9abd8fef,884
6c15a9202b9fbcc1e637644a579336ba2fb91ae76fdaebb9dfae8182c31b3a86,829
e2295c1fec12ea8e7f05e9deae8fcce5fd6057c6d72e26abb2fb428d0cf3bd28,626
4226f86397ada4853907357d7ba2d0acb4b7834780a63d1d42ced36c1d146945,103
fd60f1b2b8,632
54d51064b4e545221e896033a5ab3664f7f85e622e15c99573732eb9ae971588,664
322a6e38d7d9853fb64c25e6666fb03b7e9d2804dc8541393410cebbf05c2c73,795
37b1949efa4493840a8018046de5e8fce5c62c0df7f726fb2f5a09740b35b2ac,61
6113829070b002a53cd645afe1e750e59559f49b302a4581725c927a54a43ab0,130
20357f9e16,401
c5de2b677936af8360709054a46dd03f91dcf6cc126e10d7d4107385eefdaed8,466
766444a212dd7eb2ad4e0476dd718755e4f8ad8e046e412c80d48592b0b8ee93,40
0f1f9708e2ba78c42f477214a735299431a0693e9e40fe358c089d7b24b39902,532
4b2ed2ac7a49ec00471efcb9fe473e0606d28fa306881e7c682a6f7c5549baab,839
0f8a1ca70103a0050153dc668f4c95c3785e6b5fc4d469b19929c78ca8e10678,116
5efd8c089e0f5a78cb44be9f62b938031009ece72fd40f1402a5d0a7e7a7b750,432
cb18a38d5b390fc7a30c4d1bad1ab27cb98348f633f6aadb0c3cc958038ae4e4,425
3a66a0184d536c03cf6758363c14afdaf3f7bdf3f96e962c142724044658e47d,159
bae4a6f2c970aafbc046ea2e45df0458d1c36a83c8476189073e4023abbd2601,30
aa3e326d3677266d1501bd35edc9a9fd2c1d71951a3dd16307a545bc7917fe5b,124
f933ae19c1b80daed029d8844c5be3ebe7e2ffea3a62cc1c75fa695a102109d1,10
7e4ce61a82d74295ab9d435524af1cbf97956333241f4bb1e4041a2b0d26b9e2,146
a4bba6cc884c8831c5de2a3c636baaf4ce5b12b44aa4ad0baa783b9e0d74e11d,689
c8d41e43eacbdef01cd9c5b40f4d3317a0d40c946d4faf782ba4f60c85ea07e0,300
dde5ab8dfa127e5e8b5696fe4e5701eae967cbd50d8bfa583ff86639a7e0210c,191
69ec78e5d884f8298b9acba56e20f2d20a9a04927f7753fb57d4de1c7fa5a1e5,724
c9dabe65107ca47782cf2fee5274ded025e9766b90c3219fd015fc336f044dc0,213
4024893342b7d043d80d352aa97106536cd697187de78fa4e0dc6d5164daf571,299
44e24c7937ed0141c26f44803b2869464433dc8a6aa0ddd42afcf330938f45f1,82
0f9cf5648bd263462ac6d8c1aa96a07bfff696da62a738130360cff505f271a5,150
8d4541eda628d00cc81cf68a3026dead4832018f51b5f0150e374e87f9a59f02,323
0be36480a992397f001bcfce15807fb4417ed1b82b8301991697b8575c07a902,188
0db9aae0bb0f4416940c3d131a7d4764351c044320d55178a31231dda44a0f67,47
a9a9cfb8cfe32a6f73491e23c6d0339898012674e6840ebff1c418c997cb2ecd,403
f45e83b23bef527072fc759ea1de6d2db2fc15ef5d98310fbeb3c62e11e44ff1,430
4fcff6b615e12c8c1e7109b69b2caa92ba23f9b24593cd477db13d32b4aff0f0,305
55f734d0158438080883db7141c3dbc4e70c3ab86f019ebd8d9aa32c623d8027,455
e74f64bf7aef7aa20a02b6847d46906c25d5fd94f699e1e7e0228748e3c3455a,541
a39016820da65fa11445bd19937f81cc718d1b9f23980dd43f1a87afb6108717,427
21e6496d57f4df13384d1e123cca997bbdcb6bffa6ab1f9f1884909aad75d81a,380
1749726de11092d0bb3fc1bc89c291f233a1986984cfd11f4d8489e0417acde3,815
462926a4c4c5d067f26a701a8623fd3bafd7540ed31e6bdf82fa2e71ea902b56,620
a144b07cffc35f8372045c2c7b90f1dc44faa737b3ed0e5218beb64d6420587f,456
ba6a711dcf9ea6243f1b5888aa7aa29628dadc9e816a887b73badf659d4689d5,431
a6263cee9023edc37df79cabf0ee50b9e15efac51340324dd3c8715c4844fa4f,464
cb87b6fb1cbf8b70a56c434148fb2b65ce0cd723939506c6b8d07a14bf1d1ef1,646
64091eae05eefebdd73b83322c1567941b8b9c4ede6df2233783197f75feed62,208
7a989c086acce9cda282ecec21854746c2d890e6ca9c5c6a5744c499eeb07646,459
e1c1586784,305
87a16d047e2727c02a7f9d392483249e2d48312420f1dfaa7329e0f758ffc6b6,769
d0d8c0a97bd8214ad9cb15eee2c0ccab8a26082755411655901cc4815b2d0b67,778
0b19289d1b9670d4507f84207f2916fc2828f19451aac2a498c2bf8a64c385be,415
9160b0a6c2e354e4295501007dbb2d5a00ba6924430525a7670bd8a5f6457f6d,684
169a573deb7da377ed6b686ef3b7c7f2c352f1047d96e03ea92209bfeaf18d36,538
c1b516933619aae6e30631690c2dc9a844dccfbed9059175fa104853f909db48,764
291a529e7d2df88a1a97f45e855f9a4dbfd07b1ebe3457bfe1b28d73e8b6c89c,773
1c8f1a3b83a98947ddb2ae651576ea58615f633b5b441933ac01e2f8ca643615,268
f69cd80bb0a2a22f8ae80b45097ca903226f61ac58a2b2e1694ab0616c8ce731,255
f0d605468acfe157aac88d7c292a24e6c43fdde2c732a68f974231e824aee434,881
4b00a7470484533fcbc120cc4091f050d004f00d20084c61f3c503d5f802d3e6,587
ef3bacfdc4516871ca8ed8b8b805b77cf415733f50dd610509549154d755d40b,556
502eb52486e6667da8496ca11b5b0d1fb2fe13cfd767df17d9396999ba4f9ada,380
777cbbd61b98321f6537477ac4b53c4c222e5fa6b21c1e183664912b4a975ef5,123
79c3cb3234f39777373e59746cae9905383f673ac0bef5a629120522a31d37d9,142
a3a3a8c0627eb5835c3466ad27bbc1109ad8a0c983d56bb99706df6a37aa9a68,760
1051b3cd8d24973c524d5eddb090b1f3ed26461968ff797a04b764aab2b77d11,711
5148bfcae6a021a443b7bd3b2e6b8b9b8a77b3741869f653193d4b541750c327,61
16b23f0224d29295477bec61a1da35c82e790ec48aa5361a05fbd2738e5d5f6b,507
27079bf4f8,482
a777b4836e33470244dd5eb3dfb134e8fa37c919b1979dd3b176a363f8d20768,68
721bca9591ee73be05b54c032588992b3d8736f8175d72b3cd824c50a497b24d,685
f0d4d4c1f7596ea0e363931640968899ff725e357567f5799e63476328f5f101,118
ed0af088f99b9b178ddad05c8f32c444424626c85f4978f18e87bdee885e4e93,894
9c9cb63225a23edf8d1da58d6c0e0f41192ae2efce1143d6054fa9710882d724,586
3c9cd86f9f7f9f622649af7a3679b38f4a9a32be1caa16a8419234b116cf3622,471
c431214151460d855f7d4b6aa1f9d01a264ec80db22f4412fdc49f918884dd11,338
e3b4f2a73267be453b117b8f22263b57c32492816e706b6d125c6c5ce07b7158,725
19fb2625fc319605dfb69a920239331c28967566a1cdbe27d7cc58eb3f73900d,191
82cd7c780751bf525a910557bcd2e085676a54452ece38c1923e7be8b3dfd100,398
dae0381c579638fdc9cab0b41d1a8bfb5a2cf026d9c4a31f4126f9b2c28f31e7,814
51fb3b7c06a1a68896a76ea69b7f9f6d1b77c867a94fdbf7d82cb38f579b209c,600
30768639810cf02a1c6b63d35541b6076f2a8c9b84b2c0abdbe212585c002a4e,34
49e6df7a9a7a7baa66fdc9d843713719b392a5a7e52e998547cf409a4845f4be,653
4c31d087c414c014626e1b805c7cbf9f3ee9839de21adaf92dee06f30543ba9f,304
b49675c0557de77d3b6a46ed66aca144dd9237d30ae4be97271c0a07dedd4027,524
acb91b08d9966fe5871617e28c0c65d427596c9da7fee6a1e7fd94936b4481f4,361
b9749528ac0a6aa87fde675a74214bf53a2c42f733bf428ef4962c6cc2c62413,713
01a59a170c3046c33f0106bf056cb8da2e7fc0e6af67e446489984a954bd4e51,501
00c521d0b2fa518bf159ec22e5ded3dd8d2c4398df01b9668638294fda3180bf,43
78c0f9b9c7e73279580834f2732caaf6a87fe4233c81d2c39b299e4fe2bbfd2e,3
a91b58305c1687e42782273f73c21ec2b497b15d2ffb541b40ddc8897c840a9c,438
51a0d7f86e204b1d2a65566fdadd6e41a29439cb9242a8ca0aeccf46b6ee1a59,406
3ceb411ea2ca92986ed63568e3d0f7422215022bb34267b74353a527f02feb4d,622
9255be6ada6a969b79841063bcb3a29c1c749930b636dee51a557107f94ded06,330
a99c21ed96104d3d38bbc00c2fcc29dc80d709a95448b6481eb6ba99928ae709,261
ce87bd5e45,377
b2f1b18827cf849187455969eaf7b0453ce1df01d2ea299da9e4d6cd52d5c6c8,354
39a2bcffc3e5ee6af9c27f905a3c58bcf16fce3287fe7fcd52ce2ee23f7d61e3,753
c486a349f39e72a54ca1e03d27e2814edd049b28bba5e5dbb7699a04805ef46c,393
84c50e02378e76054f2376ea1a8198ffce4bb1a16e4d4a1be4b8b6f76956ce9e,729
cdc39e89afbbad1ea9108c706ea1a506a7dc390edf15d146f5cf09f870250ad8,565
2f0081541b4f8b514f1cbcc66213882e228b456b6f6fc173ae5220d30c055307,741
bf24d3f18beeb9b887b6f705f27c7996b83d8ba4789c7ef2a588019868ebd605,422
b1b6d8869251289be7648e566c1985ecb1d7b8644ebb8a8c0b00b7bb0db61b45,120
ae03e157708b7bd8527bbffc9636a44c9db331738fd87fa8ab207dd6722a0aea,846
034e3615aebecb555526298d5a872982b033f3912bea040b63482aaa935b8231,218
728c98ebee,184
41cb9618480c3ca9f05e2f681176bf442fe11c04a1e7f6cdd2dff4d01759b3f5,860
c02ba312704a55f7843c2dab7b18726c43c1695353050f2b2048062c802a15a3,327
1081cf7f1da3ab29546a413637fb6b9756a19ef684b823b91b576bbb490b01b1,292
67a25a90ce04fd96ca15122d50210ae26bf4422525f7021d2fb083a0f4c03a40,796
96aecbb34cf4036c3f6c49f9caffbf4c9d989234677132d1ebac19a008154fff,267
66789ac90b,629
6b6fba8efb731ba85dde9c6d438a93ea6a0767c6b624f74dc3eb6b0848f1f235,254
1b5e92e962b1f57219a48c7985c70415a6dc317a2a22b059c39fa8a10d6747cc,675
36e7e9c8733690180992d7b063c6ed730106584297737510587dcb3b8aa51277,438
8ec465d53994c6e788bdf1937104792baca17e64d52716488c1ead4f45d486be,660
d454d2e6cf42a9517ffceb1c82da147253bdb3409255f6d46667cbea71b5fa24,578
a28077768b610efdb75d71f92c156946fe0cd58f54a799cc571bfd9b7385d0ba,720
18548616968eec9d13f30da4579da3fce7de4eb4e4a10ab45bfa6eb8d7c35157,245
2b849accf938012dd6c1191ddb7619c5c9dc4c0fa4d8b96fa03174d1efe58059,335
4c2cfaaeec02b868dc4b40364fdba98c373f160fc06297bc2d86e6a410d0bda9,293
61346b42a6b1acd2c27f9771b8fc853561b986d79de3a835c3b52f2a160e0743,15
9d5560ca938da1f6a10fe48475de2f9124defb1cef108330ac40a9cdcd3f0690,25
4abdb749d3e0ca6e29cba50dd5ed301caab5d1a02ede71cbb415f1ea97dcb948,158
d8956d4328db4123938e21add53cc0365aa4282a5aa8ef7268bc9b8c6b44546e,78
e0ba1737732e619041045f6779e8cfa766630eacabb8beeb01914729bfeaeac5,135
ce8e35fe099ab70e95fa961ab918283ec681a92c9b9c563c88416614b6e28da1,361
daaa675eccbe9ecc0e94273b1a103648b737e5178fcbf57572ed8fe960bcbb74,26
b48950c135acc16c38926c310f68bc72cd9a17a723fff491523ee790aff32db9,12
f27ab652b63f52c6d009edce70c7a5e18152e2545efbde9fd04fa193c3ed87c6,166
b6b19df3e437c96dba360d2ce450c90290a80dc6af603f473dd84077192e798e,618
8f37236bc55f11347a7b15bff5e9f9d33b77258888a11ea64ef4538ef95686c1,213
01940c9e66c4ec3f15027cb6d2fc5ac79b3cb4228fddffdb7d0d45ec5bf3cbe8,255
93225a1acfc9720601f53e80d35ef3e130a8ae465e95edd21be33db9243bdbee,687
521cb79e5d,587
c1af63503ba111b7fb5dd04286ac05e5a4e9c89db84d899bc712fe30ba82f6e6,154
7cde57f2a7c2487d1b8892ea9910234703fca4aa706d9514124ed572be5d092e,62
79aa67d753,231
7599a4010f08e27196fcd69d44f88b79b1d136af47267358e445cb90fd4356f3,353
5734b0eb73adae9805132365e843f6b0fe0f85fb33330cfb098383728d56f5b3,221
af4a63f55ad5213111651c526e42b325ba94bcc88add120b0028bfc9143d32ff,319
78e08b0d71e82c9f8fc3016e32a2f52140c460b735bbd8b8a35f2cc3cffee621,419
13b975bdc868ea07baaab71eb7973c8531135c7b901ebac947a89336d064da64,823
c37495949dc0c380b36fd540ad3e4a08db319113e0015ad22377783417f527c3,418
abe65e9e614150b1b8591ea8a909cc3d2fe01ad6317dc724f21225f1a706e7f7,512
b983f14be85f6e5a4ac79d282aba62664318ef67711904238aa286b46d782bad,860
ce5b4e3ae3e97456f91a9d7f9d15c5576dbcefdea85189164c196dc81eb5022e,825
edde7ed233c8e277db063debf658356c17ed67bbae8a04432abf026a6b9ce3a6,858
d65dbb92240fb81a5a3aa22c3ceaf400c93b7a01406c53d1bcc68203f47cefea,612
44b67c0476b8a1aeae8abc38d729e7aebf00909fd168d15e87c742c9bb5eef37,629
c8b97eedaaf9a82703fab06df23c1e50e172cd7ae7e3e57ea66860507a1f16ac,825
ce1ef1b451cfc248c8006f637949164711b72f8a24b81fe814c019b53f2d43a3,37
baf29a00553a36546af844152b031adf0965f8a6c8bd3930bdfbc2bf708fcafa,687
585d0317b064dcd795f28b09a36f2d46dc2f1c101f36645a20cbc09ab0edd81f,364
73a4cf641ddc083834f89f4e04cf54d937858f3f5553a41d1eb9dd11629e957f,822
5ea5e838b341e5a4e369220fc72e58dc89adb17f2372c72f1c832818d5c1499a,295
5642ed8c136dfe698b9cb8ccbc479c54cfd2336fabdbaf83cd25dced51ccced6,791
0fce7bcc511badbc064ef229a1768a9ce0c8d77a03ede14e2a02c2ea28510095,39
eb0107288e9378ebc88dd69077d0f71383db419275bdee01c4c0ab57d445b808,413
b11dc1f3d757055504e15abdcd40ca5a45dc387bbece4f44679126e398e3b9dd,279
2ee46c0059bebe16ceea7951b76af7eab76af4e7e872d0403387e17a4a0cfda6,595
a1d239d065ccb46c9288575f609cd14aa1250e24bb12b6fdef4bea5db435407e,780
359214564c22a8358212b779ad0b0ef87b3ded1dce0216202925398cb3acb67b,256
5d60cac389945dbaa7430053b33e4782159b28bc4978a0c4a0ca4cfc6c72bd03,337
2b4852c541b22d5cb33317031279bf28e1eea728a84757039f6a2167bfca8714,888
7ef8bd188b39ae1a63a25a322b04af81696e827c3ab7d2f60ea59ee23c1a100d,765
b0a3046e3c625991f8eb4a530dadb53b0e6c0e3a7a4498bebe2daa87137ed746,52
f4855af0d36e3fbc7ee896ecbe53f192235a8371d60dce7b8eb627da7b77ac50,371
a690a9d596aaa5d12360902ec30c891e3a4458a69530736c3b8ad4a7d33ec8aa,413
d8ba7156a77cf98bedee2bfdb5ee5b4d405d1411e2c1c4dd276ef34e9c8a495f,1
9a2a93c7b0c2409862283e8e900b13b5df7f761662e100fe9ba78beab68dbecf,452
702b039e9e0e393492da3483a6e3784f77daa82fdd10f961e310d3d873105abb,738
72c2c880626e67b2fee0792ad2b3df3ba9154409ec1f9424e111501bff53d0b7,192
4ecd928a6e0f93d4a07b5ca72357bf0c98a7b330dea55c1e62356dc8019129ae,285
e55f1fe3118c5803fe3a3a31e0e926cc8f8fa1433858d9534642761ea4563c22,161
94749e1e2cf2d95c60603f58eab251982479b3e17bfa74161e2204794bd27943,647
2de6a0fc70dc6159c3dcd15f05ed977edce241ea22752e7a7f2367a2a2e4b012,272
401b67fbc3,797
b7aeb5b50345462cbb81bec3a8233a652e1731160326e9443f0b910da7a80be8,550
b06f8dfe5204d2e7fca7ce2c32b4b04a10b4ff2e2db111bddfe31247cdd2e993,442
bf9ec4970aebc46c4624f836ed557544796366c3fa476f27dc3b22bb8e4654ba,768
c074b972e38ce7f85700ca5c55b451644bfd471085665b88464a300f73f2cf73,718
1e3c1b22ba48145248951cee4cf098ae9257cf5702e636ab3724ce043662d5a8,37
cc9f42aa3c2e6e2909819100142966c1d4eb32f853865382150615882157b1ee,162
abc88de94113756402d61ee9eaceb9f0b433e64af91eb963a8064ae6a7aaa754,642
baa37aa090,752
97b53b37f94bf55a9eea4df6ee81187540d912e42ffd8ee17db06e4233b14c71,776
2f5f4dce0922a382fdf023940f5b9ae692c07360123b4a833270ed1b29f280d7,458
0f16f86969513a8f8fdfc319b6c56bb774fa7631cd97202e1c4f6acd20aa1770,826
3ab1b0444455cafdd28b044aebcd9d2bac47a1f7cd5f38adc2387fe77aed804e,66
5993598dd56455d764e3ea0bd3aa6f5b82d6baa8e2ccb3a949d60bdb85eb790a,278
6ca58bdcb52916085414315e01aee15280dcf0272268be1437094e52838fa970,792
a568237d9c69946ba8893cdc5974ea2fae20ca5236f9f79952af0cedb8eed1a8,504
87b240513be124078cb4550c624e790875b31e6e2d671526da823986d962f6d6,395
ab7ed9e861780c4a1ef11a4cb684ed6b556af1ea4c06f519845caf18feeb05e8,842
c2cf115e15deff9fceb0a87870e4cf57e9d12e453847a38d351b704b3c4040ce,849
cbccd68980a481e525d22ce069b454bf5214c528cad879fde7a38de9d9a477ef,285
425a3ba115ce1f26e4c94225cee0fca8b6a6fc5b614cab5d29d6ee7e569dc57a,534
501e82f19b6cb87253aadbdb4716ee85b530380198ecb64aa31bc1daaedce23e,885
bed7b704e9,195
a8475461bffe724063334aaea96d2ee5c13e48d5b517ab945a190451aaffbe61,482
569071bb471bf2c59f5a67723b7c9a41cc78af98ccf17e253834b94bf8b22969,865
b2d62b5820f5a521f9cd494cc11bcd2d0f5044869eddcf8481f62f1657a9e14c,128
6a08e79ef24963e0d02265234d5850163da32df5f1e36da5264a53807ac57cac,609
200b2758de886b465bb62ab9f1349357757af9da24aa3cd2007c9d2f69ddd29d,523
68dcea1bdab0e03326c332c59070b8090cbe39fa88c2af8417e801b2c4594001,137
349f223cb6a74472594c34caf2f48396923bd4bd7c6f9f9d34a5d48c475b3631,733
77b2cba3607a0d42b1fbdb2f805f819dd29973a5e3d89029db1db3776753b341,44
